Respondent,Country,AgeGroup,EducationLevel
134,United Kingdom of Great Britain and Northern Ireland,18-24 years old,Some college/university study without earning a degree
138,Argentina,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
140,Pakistan,Under 18 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
142,Italy,25-34 years old,Some college/university study without earning a degree
150,Croatia,35-44 years old,Some college/university study without earning a degree
151,Turkey,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
156,Portugal,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
158,United States of America,18-24 years old,"Associate degree (A.A., A.S., etc.)"
159,Sri Lanka,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
163,Sri Lanka,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
166,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
173,Romania,18-24 years old,Some college/university study without earning a degree
176,United States of America,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
181,Portugal,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
182,Poland,18-24 years old,Some college/university study without earning a degree
183,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
185,Hungary,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
189,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
190,Czech Republic,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
191,Canada,55-64 years old,Some college/university study without earning a degree
192,Bulgaria,35-44 years old,Some college/university study without earning a degree
196,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
200,India,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
205,United States of America,25-34 years old,Some college/university study without earning a degree
208,France,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
209,Netherlands,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
210,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
211,France,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
212,United Kingdom of Great Britain and Northern Ireland,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
215,Dominican Republic,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
216,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
218,Brazil,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
223,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
226,Germany,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
230,United States of America,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
235,India,35-44 years old,Some college/university study without earning a degree
238,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
242,United States of America,45-54 years old,Some college/university study without earning a degree
243,Morocco,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
254,Switzerland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
256,Brazil,35-44 years old,Some college/university study without earning a degree
262,Sweden,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
263,Austria,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
274,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
275,Russian Federation,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
276,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
280,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
281,Switzerland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
284,Tunisia,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
285,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
293,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
299,Bangladesh,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
300,United Kingdom of Great Britain and Northern Ireland,45-54 years old,Some college/university study without earning a degree
311,Ukraine,25-34 years old,Some college/university study without earning a degree
315,Germany,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
318,Bangladesh,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
320,Portugal,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
324,Ukraine,25-34 years old,Some college/university study without earning a degree
326,Germany,35-44 years old,Some college/university study without earning a degree
331,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
333,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
341,Pakistan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
342,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
347,Viet Nam,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
351,United States of America,35-44 years old,"Associate degree (A.A., A.S., etc.)"
352,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
353,France,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
355,Belgium,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
358,Romania,45-54 years old,Some college/university study without earning a degree
359,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
360,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
367,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
372,Turkey,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
373,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
378,Brazil,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
380,Turkey,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
385,United States of America,35-44 years old,Some college/university study without earning a degree
386,France,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
389,Spain,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
391,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
393,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
395,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
399,United States of America,45-54 years old,Some college/university study without earning a degree
400,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
408,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
411,United States of America,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
412,Italy,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
413,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
417,Brazil,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
419,Philippines,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
421,Portugal,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
430,Sweden,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
432,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
433,United States of America,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
434,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
444,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
445,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
450,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
452,South Africa,25-34 years old,Some college/university study without earning a degree
453,Chile,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
454,United Kingdom of Great Britain and Northern Ireland,65 years or older,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
464,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
466,Italy,45-54 years old,Some college/university study without earning a degree
469,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
471,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
475,Ghana,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
480,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
484,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
486,United States of America,25-34 years old,"Associate degree (A.A., A.S., etc.)"
489,Russian Federation,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
492,France,35-44 years old,Some college/university study without earning a degree
493,Canada,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
494,Israel,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
495,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
497,United States of America,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
499,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
500,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
502,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
506,Germany,35-44 years old,Some college/university study without earning a degree
507,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
509,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
511,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
515,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
523,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
529,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
531,Germany,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
533,United States of America,25-34 years old,Some college/university study without earning a degree
535,Bolivia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
543,Morocco,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
546,United States of America,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
548,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
549,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
553,Luxembourg,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
554,Georgia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
557,Greece,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
562,Ireland,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
565,Saudi Arabia,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
567,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
570,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
571,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
573,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
574,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
577,Germany,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
580,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
585,Bangladesh,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
588,United States of America,65 years or older,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
589,United States of America,18-24 years old,Something else
591,India,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
593,United States of America,35-44 years old,"Associate degree (A.A., A.S., etc.)"
595,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
601,Algeria,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
603,Ukraine,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
604,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
607,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
608,Switzerland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
609,United States of America,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
613,Spain,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
614,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
619,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
620,Italy,18-24 years old,"Associate degree (A.A., A.S., etc.)"
621,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
624,Sweden,35-44 years old,Some college/university study without earning a degree
632,Switzerland,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
641,Ireland,45-54 years old,Some college/university study without earning a degree
642,Germany,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
643,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
645,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
647,Bulgaria,35-44 years old,Some college/university study without earning a degree
650,Lithuania,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
651,Italy,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
654,Kazakhstan,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
655,United Kingdom of Great Britain and Northern Ireland,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
657,Netherlands,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
663,Romania,35-44 years old,Some college/university study without earning a degree
666,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
670,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
672,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
674,Germany,35-44 years old,Some college/university study without earning a degree
675,United States of America,35-44 years old,Some college/university study without earning a degree
687,India,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
688,Brazil,18-24 years old,Some college/university study without earning a degree
690,Italy,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
691,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
692,France,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
695,Netherlands,45-54 years old,Some college/university study without earning a degree
698,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
699,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
700,Germany,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
701,Canada,25-34 years old,"Associate degree (A.A., A.S., etc.)"
704,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
705,Jordan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
709,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
715,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
723,India,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
727,Chile,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
728,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
729,Italy,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
731,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
735,Czech Republic,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
738,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
741,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
744,Turkey,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
745,Netherlands,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
760,Austria,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
763,United States of America,18-24 years old,Some college/university study without earning a degree
767,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
770,Poland,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
772,Italy,45-54 years old,Some college/university study without earning a degree
773,Ukraine,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
779,Canada,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
780,Canada,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
782,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
788,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
790,Ukraine,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
791,United Kingdom of Great Britain and Northern Ireland,45-54 years old,Some college/university study without earning a degree
797,"Venezuela, Bolivarian Republic of...",25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
808,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
811,United States of America,55-64 years old,Some college/university study without earning a degree
813,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
814,Poland,35-44 years old,Something else
816,Italy,25-34 years old,"Associate degree (A.A., A.S., etc.)"
820,Denmark,65 years or older,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
824,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
825,United States of America,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
826,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
827,Sweden,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
829,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
832,United States of America,45-54 years old,"Associate degree (A.A., A.S., etc.)"
834,South Africa,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
844,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
848,Portugal,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
849,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
852,Austria,35-44 years old,Something else
857,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
859,United Kingdom of Great Britain and Northern Ireland,45-54 years old,Some college/university study without earning a degree
861,Nicaragua,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
862,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
870,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
874,Germany,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
880,Thailand,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
883,Switzerland,25-34 years old,"Associate degree (A.A., A.S., etc.)"
884,Serbia,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
887,United States of America,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
888,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
891,Portugal,35-44 years old,Some college/university study without earning a degree
901,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
902,India,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
907,Ukraine,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
909,Ukraine,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
913,Israel,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
916,Hungary,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
919,United States of America,65 years or older,Something else
924,Germany,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
926,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
928,Russian Federation,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
932,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
935,Spain,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
938,United States of America,25-34 years old,"Associate degree (A.A., A.S., etc.)"
944,Bangladesh,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
946,Croatia,45-54 years old,Some college/university study without earning a degree
948,India,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
953,Canada,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
954,Indonesia,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
957,Denmark,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
958,France,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
960,Netherlands,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
961,South Africa,25-34 years old,Some college/university study without earning a degree
964,Netherlands,25-34 years old,Some college/university study without earning a degree
965,Japan,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
978,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
982,United States of America,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
988,United States of America,25-34 years old,Some college/university study without earning a degree
989,United States of America,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
991,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
1001,Saudi Arabia,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
1003,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
1004,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Associate degree (A.A., A.S., etc.)"
1010,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
1018,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
1019,Mexico,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
1020,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
1021,Ukraine,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
1025,United States of America,35-44 years old,Primary/elementary school
1026,United States of America,35-44 years old,Some college/university study without earning a degree
1029,Philippines,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
